event_id,property_id,event_date,event_type,old_value,new_value,source_id,public_note
chg-owner_name_changed-2025-parcel-0102824140165,parcel-0102824140165,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824140165,parcel-0102824140165,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824140165,parcel-0102824140165,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102824140165,parcel-0102824140165,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102824210046,parcel-0102824210046,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824210046,parcel-0102824210046,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824210046,parcel-0102824210046,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102824210046,parcel-0102824210046,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102824230040,parcel-0102824230040,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824230040,parcel-0102824230040,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824230040,parcel-0102824230040,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102824230040,parcel-0102824230040,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102824240132,parcel-0102824240132,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824240132,parcel-0102824240132,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824240132,parcel-0102824240132,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102824240132,parcel-0102824240132,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102824310092,parcel-0102824310092,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824310092,parcel-0102824310092,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824310092,parcel-0102824310092,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102824310092,parcel-0102824310092,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102824320190,parcel-0102824320190,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824320190,parcel-0102824320190,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824320190,parcel-0102824320190,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102824320190,parcel-0102824320190,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-property_type_changed-2024-parcel-0102824340175,parcel-0102824340175,2024-01-01,property_type_changed,RESIDENTIAL,APARTMENT,minneapolis_assessing_parcels_2024,Minneapolis assessing records show a property classification change between 2023 and 2024.
chg-estimated_unit_count_changed-2024-parcel-0102824340175,parcel-0102824340175,2024-01-01,estimated_unit_count_changed,1,6,minneapolis_assessing_parcels_2024,Minneapolis assessing records show an estimated unit count change between 2023 and 2024.
chg-owner_name_changed-2025-parcel-0102824340175,parcel-0102824340175,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824340175,parcel-0102824340175,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLER'S OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102824410110,parcel-0102824410110,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824410110,parcel-0102824410110,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824410110,parcel-0102824410110,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
chg-estimated_unit_count_changed-2025-parcel-0102824410110,parcel-0102824410110,2025-01-01,estimated_unit_count_changed,1,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an estimated unit count change between 2024 and 2025.
chg-owner_name_changed-2025-parcel-0102824420142,parcel-0102824420142,2025-01-01,owner_name_changed,COMMUNITY HOUSING RESOURCES,MPLS PUBLIC HOUSING AUTHORITY MPHA,minneapolis_assessing_parcels_2025,Minneapolis assessing records show an owner name change between 2024 and 2025.
chg-taxpayer_name_changed-2025-parcel-0102824420142,parcel-0102824420142,2025-01-01,taxpayer_name_changed,COMMUNITY HOUSING RESOURCES | ATTN COMPTROLLERS OFFICE | 1001 WASHINGTON AVE N | MINNEAPOLIS MN 55401,,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a taxpayer name change between 2024 and 2025.
chg-property_type_changed-2025-parcel-0102824420142,parcel-0102824420142,2025-01-01,property_type_changed,RESIDENTIAL,RESIDENTIAL 1 UNIT,minneapolis_assessing_parcels_2025,Minneapolis assessing records show a property classification change between 2024 and 2025.
