property_id,parcel_id,source_ids,sale_date,sale_value,assessed_land_value,assessed_building_value,assessed_total_value,tax_year,market_year,total_tax,use_classes,zoning,land_use,parcel_area_sqft,acres,year_built,finished_sqft,above_ground_area,below_ground_area,total_units,building_use
parcel-0102824140165,0102824140165,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-09-01,109900.0,101000.0,235900.0,336900.0,2026,2025,,Residential | Special Taxing Districts,Residence Goods and Services,,7143.0,0.16,1914,,1188.0,,,Single Family House
parcel-0102824210046,0102824210046,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,99000.0,185600.0,284600.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6854.0,0.16,1911,,1117.0,,,Single Family House
parcel-0102824230040,0102824230040,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,87000.0,177400.0,264400.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,4996.0,0.11,1922,,1426.0,,,Single Family House
parcel-0102824240132,0102824240132,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,127000.0,205000.0,332000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,8557.0,0.2,1900,,1702.0,800.0,,Single Family House
parcel-0102824310092,0102824310092,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,90000.0,105000.0,195000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,3921.0,0.09,1928,,688.0,688.0,,Single Family House
parcel-0102824320190,0102824320190,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,114000.0,225000.0,339000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,6190.0,0.14,1906,,1970.0,712.0,,Single Family House
parcel-0102824340175,0102824340175,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,127500.0,1002900.0,1130400.0,2026,2025,,Apartment | Special Taxing Districts,Corridor Mixed Use,,8458.0,0.19,2023,,10032.0,,6,Apartment 6+ Unit
parcel-0102824410110,0102824410110,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,1999-11-01,104000.0,98000.0,172200.0,270200.0,2026,2025,,Residential | Special Taxing Districts,Residence Goods and Services,,6000.0,0.14,1908,,1444.0,916.0,,Single Family House
parcel-0102824420142,0102824420142,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,103000.0,180000.0,283000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5090.0,0.12,1911,,988.0,,,Single Family House
parcel-0102824420143,0102824420143,metrogis_hennepin_minneapolis_parcels_current|minneapolis_assessing_parcels_2025,,,103000.0,178000.0,281000.0,2026,2025,,Residential | Municipal Property,Urban Neighborhood 2,,5090.0,0.12,1972,,1248.0,,,Single Family House
