property_id,canonical_address,city,state,zip,parcel_id,latitude,longitude,current_owner_name,current_taxpayer_name,official_property_name,official_listed_address,is_official_mpha_listing,property_type,estimated_unit_count,unit_count_source,unit_count_confidence,unit_count_notes,ward,neighborhood,community,police_precinct,police_sector,current_status,confidence_level,confidence_score,public_notes,first_seen_date,last_seen_date,is_current,detail_url_slug
parcel-2102924410034,1000 5TH AVE N,Minneapolis,MN,55405,2102924410034,44.98306485210893,-93.29223267411093,MPLS PUBLIC HOUSING AUTHORITY MPHA,Heritage Park Partners Lp,,,False,APARTMENT,2,building_use_inference,inferred,Building use indicates a duplex; unit count inferred as 2.,Ward 5,Sumner - Glenwood,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2025.,2023-01-01,2026-01-14,True,1000-5th-ave-n-2102924410034
parcel-2102924110090,1000 ALDRICH AVE N,Minneapolis,MN,55411,2102924110090,44.98814875098559,-93.29034457720407,MPLS PUBLIC HOUSING AUTHORITY MPHA,Sumner Field Phase Ii Lp,,,False,APARTMENT,9,minneapolis_assessing_total_units,reported,Unit count reported by minneapolis assessing total units.,Ward 5,Sumner - Glenwood,Near North,Precinct 4,,Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024.",2023-01-01,2026-01-14,True,1000-aldrich-ave-n-2102924110090
parcel-2102924140068,1000 OLSON MEMORIAL HWY,Minneapolis,MN,55411,2102924140068,44.98480829330253,-93.29180151473565,MPLS PUBLIC HOUSING AUTHORITY MPHA,Sumner Field Partners Lp,,,False,APARTMENT,,,,,Ward 5,Sumner - Glenwood,Near North,Precinct 4,,Current public housing owner or taxpayer match in parcel records,likely,0.65,MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match.,2023-01-01,2026-01-14,True,1000-olson-memorial-hwy-2102924140068
parcel-2002924120100,1000 VINCENT AVE N,Minneapolis,MN,55411,2002924120100,44.988076831537626,-93.31554357633892,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 5,Willard - Hay,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1000-vincent-ave-n-2002924120100
parcel-2102924110093,1001 11TH AVE N,Minneapolis,MN,55411,2102924110093,44.989343591866934,-93.29164319952149,MPLS PUBLIC HOUSING AUTHORITY MPHA,Sumner Field Phase Ii Lp,,,False,APARTMENT,9,minneapolis_assessing_total_units,reported,Unit count reported by minneapolis assessing total units.,Ward 5,Near - North,Near North,Precinct 4,,Current public housing owner or taxpayer match in parcel records,likely,0.65,MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match.,2023-01-01,2026-01-14,True,1001-11th-ave-n-2102924110093
parcel-2102924110017,1001 12TH AVE N,Minneapolis,MN,55414,2102924110017,44.990686897319726,-93.29281213424414,MPLS PUBLIC HOUSING AUTHORITY MPHA,Mpls Public Housing Auth,,,False,VACANT LAND - APARTMENT,0,property_type_inference,inferred_zero,Property type indicates vacant land; unit count inferred as 0.,Ward 5,Near - North,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1001-12th-ave-n-2102924110017
parcel-3602924120036,1001 WASHINGTON AVE N,Minneapolis,MN,55406,3602924120036,44.96155595768534,-93.23409896366667,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 6,Seward,Longfellow,Precinct 3,Sector 4,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1001-washington-ave-n-3602924120036
parcel-2102924210164,1007 HUMBOLDT AVE N,Minneapolis,MN,55411,2102924210164,44.9884161285433,-93.29857815398243,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 5,Near - North,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1007-humboldt-ave-n-2102924210164
parcel-2102924220029,1009 MORGAN AVE N,Minneapolis,MN,55411,2102924220029,44.988316270750815,-93.30484139951069,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 2 UNITS,2,building_use_inference,inferred,Building use indicates a duplex; unit count inferred as 2.,Ward 5,Near - North,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1009-morgan-ave-n-2102924220029
parcel-3502924210058,1010 21ST ST E,Minneapolis,MN,55404,3502924210058,44.962085797303544,-93.2590195159113,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 6,Ventura Village,Phillips,Precinct 3,Sector 1,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1010-21st-st-e-3502924210058
parcel-3502924240037,1011 24TH ST E,Minneapolis,MN,55404,3502924240037,44.9588981978638,-93.25951603195752,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 9,Midtown Phillips,Phillips,Precinct 3,Sector 1,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1011-24th-st-e-3502924240037
parcel-2102924220010,1011 LOGAN AVE N,Minneapolis,MN,55411,2102924220010,44.98829064432182,-93.30357829270831,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 5,Near - North,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1011-logan-ave-n-2102924220010
parcel-2102924410039,1015 4TH AVE N,Minneapolis,MN,55405,2102924410039,44.98131994655645,-93.29225365740395,MPLS PUBLIC HOUSING AUTHORITY MPHA,Mpls Public Housing Auth,,,False,APARTMENT,,,,,Ward 5,Sumner - Glenwood,Near North,Precinct 4,,Current public housing owner or taxpayer match in parcel records,likely,0.65,MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match.,2023-01-01,2026-01-14,True,1015-4th-ave-n-2102924410039
parcel-2102924220008,1017 LOGAN AVE N,Minneapolis,MN,55411,2102924220008,44.98852516080483,-93.30357637314883,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 5,Near - North,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1017-logan-ave-n-2102924220008
parcel-1902923220041,1025 21ST AVE SE,Minneapolis,MN,55414,1902923220041,44.98866988234794,-93.22323031903296,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 2 UNITS,2,building_use_inference,inferred,Building use indicates a duplex; unit count inferred as 2.,Ward 1,Como,University,Precinct 2,Sector 1,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1025-21st-ave-se-1902923220041
parcel-2102924220057,1026 OLIVER AVE N,Minneapolis,MN,55411,2102924220057,44.98875902142245,-93.30663301470938,MPLS PUBLIC HOUSING AUTHORITY MPHA,Community Housing Resources,,,False,RESIDENTIAL 1 UNIT,1,building_use_inference,inferred,Building use indicates a single-family house; unit count inferred as 1.,Ward 5,Near - North,Near North,Precinct 4,,Current public housing ownership match in Minneapolis assessing records; Current public housing owner or taxpayer match in parcel records,likely,1.0,"MetroGIS/Hennepin parcel data contains a public housing owner or taxpayer-name match. Minneapolis assessing records show public housing owner or taxpayer evidence for 2023, 2024, 2025.",2023-01-01,2026-01-14,True,1026-oliver-ave-n-2102924220057
