property_id,parcel_id,permit_number,permit_type,work_type,occupancy_type,status,milestone,value,dwelling_units_new,dwelling_units_eliminated,issue_date,complete_date,work_description,match_method,source_id
parcel-3602924440189,3602924440189,BLDG1116240,Mechanical,ExistRes,SFD,Closed,Closed,,,,2025-05-01,2025-06-04,Replace Furnace and AC with Goodman 96% 2-stage w/ ECM furnace and Goodman 2 ton 13.4 Seer2 Air Conditioner,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924440189,3602924440189,BLDG1003099,Plumbing,Res,,Closed,Closed,,,,2023-06-23,2025-02-12,replace gas dryer,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924440189,3602924440189,BLDG974723,Res,Misc,SFD,Closed,Closed,7100.0,,,2022-12-12,2025-02-12,Remove existing asphalt shingles at house and garage and replace with new architectural asphalt shingles,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924440189,3602924440189,BLDG659441,Mechanical,ExistRes,SFD,Closed,Closed,,,,2017-06-07,2019-11-13,replace a/c,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924320055,3602924320055,BLDG941175,Plumbing,Res,,Closed,Closed,,,,2022-04-28,2024-05-09,RUN NEW DRYER GAS LINE AND INSTALL DRYER,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924320010,3602924320010,BLDG1179914,Plumbing,Res,,Issued,Inspection,,,,2026-05-13,,Replace 40 gallon power vent water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924320010,3602924320010,BLDG1160426,Plumbing,Res,SFD,Closed,Closed,,,,2025-12-30,2026-04-13,METER MOVE Q4 - 2025 BATCH #13,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG1084662,Commercial,RoofWind,MFD,Closed,Closed,2241052.0,,,2024-09-26,2025-07-28,"WINDOW REPLACEMENT This permit authorizes the removal and installation of 682 windows. (sza) 1. For one- or two-family dwellings, windows installed under this permit shall meet the requirements of the current Minnesota State Residential Code. 2. F",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG792697,Commercial,Remodel,Comm,Closed,Closed,10000.0,,,2020-06-09,2024-09-23,"MODIFIY ANTENNAS AND ROOFTOP EQUIPMENT, T-MOBILE ALSO ADDING GUARDRAILS. ENGR: GAUTAM MEDHI # 40356",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG766997,Commercial,Remodel,MFD,Closed,Closed,7000.0,,,2019-05-03,2020-05-11,CONSTRUCT 1 HR ELECTRICAL ROOM ON 1ST FLOOR. SCK********* ARCHITECT: ADSIT*********,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG751708,Commercial,Remodel,MFD,Closed,Closed,7500.0,,,2019-03-12,2019-04-22,"INSTALL TELECOMMUNICATIONS - NEW 4' X 8' PLATFORM & GENERATOR AT GRADE, FENCED ENCLOSURE SOUTH OF BUILDING ON MINNEHAHA AVENUE SIDE CONDUITS ROUTED TO ROOFTOP EQUIPMENT SHALL NOT BE ROUTED THROUGH STAIR ENCLOSURES. FIRESTOP FLOOR PENETRATION IF NOT IN R",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG745073,Plumbing,ComNoFdBv,MFD,Closed,Closed,,,,2018-12-06,2019-06-27,,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG743570,Commercial,Remodel,MFD,Closed,Closed,765900.0,,,2018-11-26,2020-05-11,GENERAL REMODEL FOR WASTE AND VENT REPLACEMENT FOR 110 UNITS certificate of occupancy required: no special inspections required: no occupancy: R2 2015 MSBC architect: Adsit engineer: Martin Pevzner windows with sill heights le,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG692342,Commercial,Remodel,Comm,Closed,Closed,7500.0,,,2018-02-16,2019-01-08,SAFETY UPGRADES TO ROOFTOP ANTENNA BUILDING ADDING RAILING AND CRANE. EXISTING ROOF WAS CHECKED. ASSOCIATED ENGINEERING INC. PE: GUATAM (TOM) MEDHI PE 40356,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924220010,3602924220010,BLDG656281,Commercial,Remodel,MFD,Closed,Closed,1.0,,,2017-05-24,2019-01-08,"***NOTE: THIS PROJECT IS EXEMPTED FROM PERMIT PER 2015 MN. RESIDENTIAL CODE SECTION 1300.0120 - SUBP.#4 - ITEM #1. AAJ*** CONSTRUCT DETACHED 10'0"" BY 10'0"" WOOD FRAME SHED ADDITION TO EXISTING 100 SQ. FT. SHED. AAJ#2 GENERAL COMMENTS: APPLICANT",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210481,3602924210481,BLDG922290,Plumbing,Res,,Closed,Closed,,,,2021-12-29,2023-12-29,Replace one gas water heater. [contact omitted],parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG974393,Mechanical,ComMFDNR,MFD,Closed,Closed,44000.0,,,2023-01-19,2024-02-01,Above ceiling duct systems installed at factory. Plans and spec. attached.,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG974264,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-09-13,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG974189,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-08-31,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG931213,Commercial,New,3to4,Closed,Closed,1250414.0,4,,2022-12-06,2025-11-17,SITE 15 - NEW 4 UNIT RESIDENTIAL BLDG. MODULAR CONSTRUCTION. SPECIAL INSPECTOR REQUIRED TO INSPECT MODULAR CONNECTIONS. All off-site constructed modular components must be certified and bear the IBC Seal and Data Plate per MN Rule 1361.0400 ****REVI,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG952324,Wrecking,Private,SFD,Closed,Closed,7000.0,,,2022-11-21,2025-01-09,Wreck SFD affiliated w/PDR (PLAN13426) - 1 SAC Credit,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210093,3602924210093,BLDG879293,Plumbing,Res,,Closed,Closed,,,,2021-03-31,2023-11-09,Replace one gas water heater,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG931311,Commercial,New,MFD,Closed,Closed,1499952.0,6,,2023-02-03,2025-02-20,SITE 5. NEW 6 UNIT RESIDENTIAL BLDG. MODULAR CONSTRUCTION. SPECIAL INSPECTOR REQUIRED TO INSPECT MODULAR CONNECTIONS. (JJL) ALL OFF-SITE CONSTRUCTED MODULAR COMPONENTS MUST BE CERTIFIED AND BEAR THE IBC SEAL AND DATA PLATE PER MN RULE 1361. XXXXXXX,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG950453,Wrecking,CPEDREDS,SFD,Closed,Closed,7000.0,,,2023-02-02,2025-01-09,"Wrecking a single family dwelling affiliated w/PDR (PLAN13421), 1 SAC unit.",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG974392,Mechanical,ComMFDNR,MFD,Closed,Closed,66000.0,,,2023-01-19,2023-10-23,"HVAC for 3 story 6 dwelling units modular construction, installing furnace with DX coil and condensing units, exhaust fans, electric baseboard heaters, electric unit heaters, electric wall heaters, GRDs and all associated ductwork. Refer to attached draw",parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG974254,Plumbing,ComMin,MFD,Closed,Closed,,,,2022-12-08,2023-10-18,Complete plumbing per plans. Note: The project is modular construction. USM will be field installing crawl space and module connections. Pre-fab will be installing and inspections on the branch piping and setting fixtures. Fee is to be 50% of the calcula,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924210062,3602924210062,BLDG974188,Mechanical,TempHeat,MFD,Closed,Closed,,,,2022-12-06,2023-10-18,TEMPORARY HEATER,parcel_apn,minneapolis_ccs_permits_current
parcel-3602924120124,3602924120124,BLDG1109255,Res,Misc,SFD,Closed,Closed,26929.0,,,2025-03-13,2025-05-13,"EXTERIOR WORK: New Roof, New Siding, New Gutters",parcel_apn,minneapolis_ccs_permits_current
